,Mutation,Brca_odds,Brca_pvalue
6061,NOTCH4,inf,0.09910581222056716
6062,NOV,inf,0.2162308630266921
6063,NOVA1,inf,0.46721311475409544
6064,NOX1,inf,0.46721311475409544
6065,NOX3,0.5625,1.0
6066,NOX4,2.327272727272727,0.5984283972361519
6067,NOX5,inf,0.46721311475409544
6068,NOXA1,1.1428571428571428,1.0
6069,NPAP1,0.36904761904761907,0.622050256222261
6070,NPAS2,inf,0.46721311475409544
6071,NPAS3,inf,0.2162308630266921
6072,NPAS4,1.75,0.6636887873164217
6073,NPAT,0.0,0.498035496545188
6074,NPBWR1,inf,0.46721311475409544
6075,NPC1,0.0,1.0
6076,NPC1L1,inf,0.46721311475409544
6077,NPDC1,inf,0.46721311475409544
6078,NPEPL1,0.0,1.0
6079,NPEPPS,0.0,1.0
6080,NPFFR1,inf,0.46721311475409544
6081,NPFFR2,inf,0.46721311475409544
6082,NPHP1,inf,0.46721311475409544
6083,NPHP3,inf,0.46721311475409544
6084,NPHP4,inf,0.46721311475409544
6085,NPHS1,1.1454545454545455,1.0
6086,NPHS2,inf,0.46721311475409544
6087,NPIPA1,inf,0.46721311475409544
6088,NPIPA2,0.0,1.0
6089,NPIPA5,2.327272727272727,0.5984283972361519
6090,NPIPA7,0.0,1.0
6091,NPIPB11,0.0,1.0
6092,NPIPB15,inf,0.46721311475409544
6093,NPIPB4,0.0,1.0
6094,NPIPB6,inf,0.46721311475409544
6095,NPIPB8,inf,0.46721311475409544
6096,NPL,inf,0.46721311475409544
6097,NPM2,inf,0.46721311475409544
6098,NPM3,inf,0.46721311475409544
6099,NPPA,1.1428571428571428,1.0
6100,NPPB,1.1428571428571428,1.0
6101,NPPC,0.0,1.0
6102,NPR1,2.327272727272727,0.5984283972361519
6103,NPR2,1.1428571428571428,1.0
6104,NPRL2,0.0,1.0
6105,NPSR1,0.0,1.0
6106,NPTX1,0.0,1.0
6107,NPTX2,inf,0.46721311475409544
6108,NPW,inf,0.2162308630266921
6109,NPY,inf,0.46721311475409544
6110,NPY1R,0.0,1.0
6111,NPY2R,inf,0.46721311475409544
6112,NPY4R,1.1428571428571428,1.0
6113,NPY5R,inf,0.46721311475409544
6114,NQO2,0.0,1.0
6115,NR0B1,2.327272727272727,0.5984283972361519
6116,NR0B2,inf,0.46721311475409544
6117,NR1D1,1.1428571428571428,1.0
6118,NR1H2,1.1428571428571428,1.0
6119,NR1I2,inf,0.46721311475409544
6120,NR2C1,0.0,0.498035496545188
6121,NR2C2,0.0,1.0
6122,NR2E1,inf,0.46721311475409544
6123,NR2F2,0.0,1.0
6124,NR3C1,inf,0.46721311475409544
6125,NR3C2,1.1428571428571428,1.0
6126,NR4A1,0.0,1.0
6127,NR4A2,inf,0.46721311475409544
6128,NR4A3,inf,0.46721311475409544
6129,NR5A1,0.0,1.0
6130,NR5A2,inf,0.46721311475409544
6131,NRAP,1.75,0.6636887873164217
6132,NRBP1,0.0,1.0
6133,NRCAM,inf,0.2162308630266921
6134,NRD1,1.1428571428571428,1.0
6135,NRDE2,inf,0.46721311475409544
6136,NRG2,0.5625,1.0
6137,NRG3,inf,0.46721311475409544
6138,NRIP1,inf,0.2162308630266921
6139,NRIP2,inf,0.46721311475409544
6140,NRIP3,0.0,1.0
6141,NRK,inf,0.2162308630266921
6142,NRM,0.0,1.0
6143,NRP2,1.1428571428571428,1.0
6144,NRROS,2.327272727272727,0.5984283972361519
6145,NRSN1,inf,0.46721311475409544
6146,NRXN1,1.75,0.6636887873164217
6147,NRXN2,0.36904761904761907,0.622050256222261
6148,NRXN3,1.75,0.6636887873164217
6149,NSD1,0.0,0.498035496545188
6150,NSF,inf,0.46721311475409544
6151,NSG1,inf,0.46721311475409544
6152,NSMAF,inf,0.46721311475409544
6153,NSMCE4A,0.0,1.0
6154,NSMF,inf,0.46721311475409544
6155,NSRP1,0.0,1.0
6156,NSUN6,inf,0.46721311475409544
6157,NT5C1A,inf,0.2162308630266921
6158,NT5C1B,inf,0.46721311475409544
6159,NT5C2,inf,0.2162308630266921
6160,NT5C3B,0.0,1.0
6161,NT5DC4,0.0,0.498035496545188
6162,NT5E,1.1428571428571428,1.0
6163,NTF4,0.0,1.0
6164,NTN1,0.0,1.0
6165,NTN3,0.0,1.0
6166,NTN4,inf,0.46721311475409544
6167,NTNG2,1.1428571428571428,1.0
6168,NTRK1,inf,0.2162308630266921
6169,NTRK3,inf,0.2162308630266921
6170,NTS,0.0,1.0
6171,NTSR2,0.0,0.498035496545188
6172,NUAK2,inf,0.46721311475409544
6173,NUBP1,1.1428571428571428,1.0
6174,NUBP2,inf,0.46721311475409544
6175,NUDC,inf,0.46721311475409544
6176,NUDCD1,1.1428571428571428,1.0
6177,NUDT10,inf,0.46721311475409544
6178,NUDT11,inf,0.2162308630266921
6179,NUDT12,inf,0.46721311475409544
6180,NUDT16,inf,0.46721311475409544
6181,NUDT16L1,0.0,1.0
6182,NUDT18,inf,0.46721311475409544
6183,NUDT19,inf,0.2162308630266921
6184,NUDT22,inf,0.46721311475409544
6185,NUDT6,0.0,1.0
6186,NUDT9,inf,0.46721311475409544
6187,NUF2,inf,0.2162308630266921
6188,NUFIP2,0.0,0.498035496545188
6189,NUGGC,inf,0.46721311475409544
6190,NUMA1,1.75,0.6636887873164217
6191,NUMBL,0.5625,1.0
6192,NUP153,inf,0.2162308630266921
6193,NUP155,0.0,1.0
6194,NUP160,inf,0.2162308630266921
6195,NUP188,0.5625,1.0
6196,NUP205,0.0,0.24705324481777843
6197,NUP210,1.1428571428571428,1.0
6198,NUP210L,0.36904761904761907,0.622050256222261
6199,NUP214,1.1428571428571428,1.0
6200,NUP62,0.5625,1.0
6201,NUP62CL,inf,0.46721311475409544
6202,NUP88,inf,0.46721311475409544
6203,NUP93,0.0,1.0
6204,NUSAP1,0.0,1.0
6205,NUTM1,1.1428571428571428,1.0
6206,NUTM2B,0.0,0.498035496545188
6207,NUTM2F,inf,0.2162308630266921
6208,NVL,inf,0.46721311475409544
6209,NWD1,0.27232142857142855,0.3700837603704302
6210,NXF2B,0.0,1.0
6211,NXF3,inf,0.09910581222056716
6212,NXF5,0.0,1.0
6213,NXNL2,0.0,1.0
