Name,amplifications,neutral,deletions,average
SEC61A1,3.0,93.0,13.0,-0.00559724770642202
SEC61A2,2.0,97.0,10.0,-0.021773394495412844
SEC61B,0.0,85.0,24.0,-0.10902935779816512
SEC61G,27.0,80.0,2.0,0.2793587155963302
SEC62,6.0,95.0,8.0,0.031027522935779817
SEC63,0.0,79.0,30.0,-0.1247807339449542
SECISBP2,0.0,84.0,25.0,-0.10967706422018346
SECISBP2L,2.0,76.0,31.0,-0.11802752293577982
SECTM1,10.0,94.0,5.0,0.09238807339449541
SEH1L,3.0,87.0,19.0,-0.05137247706422017
SEL1L,11.0,94.0,4.0,0.04367064220183486
SEL1L2,5.0,90.0,14.0,-0.015716513761467897
SEL1L3,3.0,98.0,8.0,-0.023896330275229367
SELE,32.0,76.0,1.0,0.20210091743119266
SELENBP1,41.0,67.0,1.0,0.25128440366972477
SELENOF,1.0,91.0,17.0,-0.047435779816513764
SELENOH,1.0,104.0,4.0,0.012858715596330271
SELENOI,3.0,105.0,1.0,0.029844036697247715
SELENOK,1.0,77.0,31.0,-0.11375504587155962
SELENOM,3.0,80.0,26.0,-0.07922018348623855
SELENON,1.0,98.0,10.0,-0.014998165137614681
SELENOO,2.0,75.0,32.0,-0.12260825688073394
SELENOP,26.0,83.0,0.0,0.2003669724770642
SELENOS,4.0,75.0,30.0,-0.1048697247706422
SELENOT,4.0,94.0,11.0,0.011158715596330264
SELENOV,5.0,90.0,14.0,-0.0027357798165137588
SELENOW,2.0,86.0,21.0,-0.06587064220183486
SELL,32.0,76.0,1.0,0.20210091743119266
SELP,33.0,75.0,1.0,0.20513027522935784
SELPLG,4.0,98.0,7.0,-0.006165137614678903
SEM1,9.0,98.0,2.0,0.08028899082568808
SEMA3A,9.0,97.0,3.0,0.07813577981651376
SEMA3B,0.0,79.0,30.0,-0.11929357798165134
SEMA3C,8.0,98.0,3.0,0.07658715596330276
SEMA3D,9.0,97.0,3.0,0.07617798165137613
SEMA3E,9.0,97.0,3.0,0.0783137614678899
SEMA3F,0.0,79.0,30.0,-0.11929357798165134
SEMA3G,0.0,79.0,30.0,-0.11578440366972476
SEMA4A,37.0,70.0,2.0,0.2342321100917432
SEMA4B,3.0,78.0,28.0,-0.09411834862385321
SEMA4C,5.0,103.0,1.0,0.058693577981651375
SEMA4D,0.0,84.0,25.0,-0.10715596330275227
