,Mutation,Lscc_odds,Lscc_pvalue
303,AFAP1L1,0.0,0.5587198025039665
304,AFAP1L2,1.3103448275862069,1.0
305,AFF1,inf,0.2777777777777764
306,AFF2,1.042857142857143,1.0
307,AFF3,1.8461538461538463,0.4596076320141626
308,AFF4,0.0,1.0
309,AFG3L2,2.7142857142857144,0.30796057916495284
310,AFM,1.7857142857142858,0.616102392288252
311,AFMID,0.0,1.0
312,AFP,0.0,1.0
313,AFTPH,0.0,1.0
314,AGA,0.0,1.0
315,AGAP1,1.3103448275862069,1.0
316,AGAP2,inf,0.2777777777777764
317,AGAP3,0.0,1.0
318,AGAP5,0.0,1.0
319,AGAP6,0.0,1.0
320,AGBL1,0.3497536945812808,0.4391275726776259
321,AGBL2,0.0,1.0
322,AGBL3,0.0,1.0
323,AGBL4,0.0,0.5587198025039665
324,AGBL5,0.0,0.5587198025039665
325,AGER,0.0,1.0
326,AGFG1,0.0,1.0
327,AGK,0.0,1.0
328,AGMO,4.222222222222222,0.12983208918670092
329,AGO1,0.0,0.5741295871784345
330,AGO3,0.0,1.0
331,AGO4,0.0,1.0
332,AGPAT1,0.0,1.0
333,AGPAT3,0.0,1.0
334,AGPS,5.5,0.18608319128509537
335,AGR2,0.0,1.0
336,AGR3,inf,0.2777777777777764
337,AGRN,1.3214285714285714,0.6690280818951142
338,AGT,5.5,0.18608319128509537
339,AGTR1,1.7857142857142858,0.616102392288252
340,AGXT,2.6551724137931036,0.48026998961578404
341,AGXT2,0.0,1.0
342,AHCTF1,inf,0.005113736554399592
343,AHCY,2.6551724137931036,0.48026998961578404
344,AHCYL2,0.8620689655172413,1.0
345,AHDC1,0.8620689655172413,1.0
346,AHI1,0.0,1.0
347,AHNAK,2.6630434782608696,0.11724432081486978
348,AHNAK2,0.21003134796238246,0.1727777470924865
349,AHR,2.6551724137931036,0.48026998961578404
350,AHRR,2.6551724137931036,0.48026998961578404
351,AHSG,2.6551724137931036,0.48026998961578404
352,AICDA,0.0,1.0
353,AIFM2,2.6551724137931036,0.48026998961578404
354,AIFM3,2.6551724137931036,0.48026998961578404
355,AIM1,0.0,1.0
356,AIM1L,0.8571428571428571,1.0
357,AIM2,5.5,0.18608319128509537
358,AIMP2,0.0,1.0
359,AIPL1,0.8620689655172413,1.0
360,AIRE,0.0,1.0
361,AJAP1,0.0,1.0
362,AJUBA,0.8620689655172413,1.0
363,AK4,0.0,1.0
364,AK5,2.6551724137931036,0.48026998961578404
365,AK7,2.7142857142857144,0.30796057916495284
366,AK8,0.0,1.0
367,AK9,1.042857142857143,1.0
368,AKAP1,2.6551724137931036,0.48026998961578404
369,AKAP11,5.5,0.18608319128509537
370,AKAP12,0.0,0.31922157565783094
371,AKAP13,0.8620689655172413,1.0
