Name,amplifications,neutral,deletions,average
AC092143.1,0.0,92.0,6.0,-0.03991239347602566
AC092329.3,22.0,74.0,2.0,0.12620677897107588
AC092442.1,0.0,95.0,3.0,-0.016981091007725407
AC092587.1,0.0,97.0,1.0,-0.0018754407904734206
AC092647.5,55.0,43.0,0.0,0.615234319291848
AC092718.3,0.0,92.0,6.0,-0.04323043352777724
AC092718.8,0.0,92.0,6.0,-0.04323043352777724
AC092835.1,0.0,98.0,0.0,0.006247351628470007
AC093155.3,1.0,90.0,7.0,-0.01883414584746253
AC093227.2,22.0,71.0,5.0,0.10081936070078924
AC093323.1,1.0,94.0,3.0,-0.014582805714546999
AC093423.3,1.0,88.0,9.0,-0.028667070305843975
AC093512.2,0.0,96.0,2.0,-0.007205246743137964
AC093525.1,1.0,96.0,1.0,0.004426208322341812
AC093525.2,1.0,96.0,1.0,0.004426208322341812
AC093668.1,58.0,40.0,0.0,0.3308193291181253
AC093668.2,58.0,40.0,0.0,0.33003689638634287
AC093668.3,58.0,40.0,0.0,0.3308193291181253
AC093827.5,0.0,95.0,3.0,-0.02174136604193761
AC093899.2,1.0,97.0,0.0,0.007353828509975964
AC096582.3,50.0,47.0,1.0,0.29408649288664257
AC096887.1,1.0,92.0,5.0,-0.022252757427490225
AC097104.1,2.0,91.0,5.0,-0.015478239233263606
AC097625.1,7.0,85.0,6.0,0.02117430544326528
AC097634.4,1.0,92.0,5.0,-0.02343692507248198
AC097636.1,2.0,93.0,3.0,-0.006474624075237355
AC097637.1,2.0,93.0,3.0,-0.008787423784968657
AC098484.3,2.0,93.0,3.0,0.008802260540961629
AC098582.1,0.0,94.0,4.0,-0.026327529489084112
AC098588.1,0.0,94.0,4.0,-0.03019666115452776
AC098650.1,1.0,93.0,4.0,-0.013808773782745875
AC098850.3,1.0,87.0,10.0,-0.03778294400967181
AC099489.1,1.0,96.0,1.0,0.0009299371087026104
AC099811.2,2.0,86.0,10.0,-0.0341724439928013
AC099850.2,2.0,89.0,7.0,-0.0031935427636981574
AC100868.1,0.0,94.0,4.0,-0.02011993307685451
AC104109.3,1.0,96.0,1.0,0.004541192896391257
AC104151.1,0.0,92.0,6.0,-0.048195898193561564
AC104304.1,1.0,92.0,5.0,-0.01957233452394943
AC104389.4,1.0,88.0,9.0,-0.042645510996760914
AC104389.5,1.0,88.0,9.0,-0.0427472920568631
AC104452.1,1.0,94.0,3.0,-0.012954542432796137
AC104472.3,1.0,93.0,4.0,-0.018419697656247413
AC104532.1,18.0,79.0,1.0,0.11760610477614297
AC104581.2,1.0,85.0,12.0,-0.054704188229559816
AC104662.2,0.0,95.0,3.0,-0.01575062448686483
AC105052.1,58.0,40.0,0.0,0.3308193291181253
AC105052.3,58.0,40.0,0.0,0.3308193291181253
AC106774.4,1.0,93.0,4.0,-0.012127565777850685
AC106886.5,0.0,96.0,2.0,-0.007938210083509973
AC107871.1,0.0,93.0,5.0,-0.02599532745236052
AC107959.5,0.0,92.0,6.0,-0.025823139938598118
AC108488.2,1.0,95.0,2.0,-0.008826228616646111
AC108941.2,0.0,94.0,4.0,-0.03007577108544659
AC109583.3,1.0,92.0,5.0,-0.019371212315933188
AC110275.1,0.0,95.0,3.0,-0.008984350954487224
AC112128.1,1.0,92.0,5.0,-0.02565681610662855
AC112229.3,0.0,98.0,0.0,0.0027868290328666783
AC112504.2,3.0,91.0,4.0,-0.00903807658308176
AC113348.1,2.0,95.0,1.0,0.0069090873868337494
AC113348.2,2.0,94.0,2.0,0.00042836249160558957
AC113554.1,2.0,90.0,6.0,-0.003385441948273152
AC114490.2,2.0,90.0,6.0,-0.009572592380862775
AC114490.3,2.0,90.0,6.0,-0.009790416756079803
AC115220.1,59.0,38.0,1.0,0.32928054854183864
AC116366.3,1.0,96.0,1.0,0.004582810496953202
AC117378.1,3.0,89.0,6.0,-0.005179478290745136
AC117457.1,4.0,92.0,2.0,0.023345505741372122
AC118470.1,4.0,89.0,5.0,0.0040640580479986204
AC118549.1,2.0,92.0,4.0,-0.002298076973124191
AC118553.2,1.0,92.0,5.0,-0.003844020526407478
AC119396.1,19.0,78.0,1.0,0.12299140645994447
AC119674.2,2.0,92.0,4.0,-0.0029377643479510415
AC119676.1,2.0,93.0,3.0,0.00951576700712073
AC120057.2,1.0,86.0,11.0,-0.04936883503782604
AC120114.4,0.0,96.0,2.0,-0.007205246743137964
AC124312.1,0.0,90.0,8.0,-0.04184713645723862
AC126283.2,0.0,93.0,5.0,-0.035272275783735645
AC126755.2,1.0,91.0,6.0,-0.030255111868250657
AC127029.3,2.0,91.0,5.0,-0.000696920710039867
AC129492.3,1.0,85.0,12.0,-0.054704188229559816
AC131097.2,0.0,95.0,3.0,-0.024173454093042158
AC131160.1,5.0,92.0,1.0,0.03641362989392281
AC134669.1,2.0,77.0,19.0,-0.07780349754841479
AC134684.11,0.0,92.0,6.0,-0.022154554545652266
AC134684.8,0.0,92.0,6.0,-0.022154554545652266
AC134684.9,0.0,92.0,6.0,-0.022154554545652266
AC134980.3,0.0,89.0,9.0,-0.04986258188383878
AC135050.2,0.0,96.0,2.0,-0.007362179283524144
AC135068.1,0.0,89.0,9.0,-0.05159184720948817
AC135068.3,0.0,89.0,9.0,-0.05159184720948817
AC135178.2,1.0,85.0,12.0,-0.054724610188240055
AC136428.1,0.0,94.0,4.0,-0.027184344691863416
AC137834.1,3.0,88.0,7.0,0.004334838315486771
AC138647.1,0.0,94.0,4.0,-0.0259625784382277
AC138696.1,0.0,94.0,4.0,-0.018870966454886406
AC138811.2,1.0,91.0,6.0,-0.033795326905410976
AC138894.1,1.0,94.0,3.0,-0.009997970353880841
AC139491.7,1.0,97.0,0.0,0.009887046242269954
AC139530.2,2.0,92.0,4.0,0.005081894919290628
AC140504.1,1.0,93.0,4.0,-0.022546414578608284
AC142391.1,1.0,97.0,0.0,0.008074556560470007
AC144573.1,0.0,93.0,5.0,-0.020373743739056767
AC187653.1,54.0,44.0,0.0,0.3038725746984254
