,Mutation,Hnscc_odds,Hnscc_pvalue
310,AGTR1,0.8735632183908046,1.0
311,AGTR2,0.0,1.0
312,AGTRAP,inf,0.2752293577981668
313,AGXT,inf,0.2752293577981668
314,AGXT2,0.0,1.0
315,AHCTF1,5.571428571428571,0.1830337153581604
316,AHCY,1.3275862068965518,1.0
317,AHCYL2,5.571428571428571,0.1830337153581604
318,AHDC1,2.75,0.3034880144721127
319,AHI1,0.0,1.0
320,AHNAK,3.0416666666666665,0.08685215667219671
321,AHNAK2,1.3653846153846154,0.7333447802805104
322,AHR,0.0,1.0
323,AHRR,0.0,1.0
324,AHSA2,0.0,1.0
325,AHSG,0.0,1.0
326,AHSP,0.0,1.0
327,AICDA,0.0,1.0
328,AIF1,inf,0.2752293577981668
329,AIFM1,0.0,1.0
330,AIFM3,inf,0.2752293577981668
331,AIM1,0.0,0.573564090493129
332,AIM1L,2.689655172413793,0.4765545361875627
333,AIM2,0.0,0.5597187687558982
334,AIMP2,inf,0.2752293577981668
335,AIP,inf,0.2752293577981668
336,AIRE,2.689655172413793,0.4765545361875627
337,AJAP1,inf,0.2752293577981668
338,AJUBA,0.8641975308641975,1.0
339,AK2,0.0,1.0
340,AK5,0.0,1.0
341,AK7,0.0,1.0
342,AK8,0.0,1.0
343,AK9,0.0,1.0
344,AKAP1,0.0,1.0
345,AKAP10,inf,0.2752293577981668
346,AKAP11,2.689655172413793,0.4765545361875627
347,AKAP12,12.0,0.019751221003690207
348,AKAP13,0.0,1.0
349,AKAP4,0.0,0.5597187687558982
350,AKAP6,0.0,0.573564090493129
351,AKAP8L,0.0,1.0
352,AKAP9,0.0,1.0
353,AKIRIN2,2.689655172413793,0.4765545361875627
354,AKNA,1.3275862068965518,1.0
355,AKNAD1,inf,0.2752293577981668
356,AKR1B1,0.0,1.0
357,AKR1C3,inf,0.2752293577981668
358,AKR1C4,0.0,1.0
359,AKR1D1,0.0,1.0
360,AKR1E2,2.689655172413793,0.4765545361875627
361,AKR7A2,0.0,1.0
362,AKT2,0.0,1.0
363,AL023806.1,inf,0.2752293577981668
364,AL034550.1,inf,0.2752293577981668
365,AL356053.1,inf,0.2752293577981668
366,AL356585.1,0.0,1.0
367,AL589743.1,0.0,0.5597187687558982
368,ALAD,inf,0.2752293577981668
369,ALAS2,0.0,1.0
370,ALB,0.0,1.0
371,ALCAM,inf,0.0739041794087671
372,ALDH16A1,1.3275862068965518,1.0
373,ALDH18A1,0.0,1.0
374,ALDH1A1,inf,0.2752293577981668
375,ALDH1A2,0.0,0.5597187687558982
376,ALDH1A3,inf,0.0739041794087671
377,ALDH1B1,0.0,1.0
378,ALDH1L1,0.0,0.5597187687558982
379,ALDH1L2,inf,0.2752293577981668
380,ALDH2,0.0,1.0
381,ALDH3A1,0.0,1.0
382,ALDH4A1,0.0,1.0
383,ALDH6A1,inf,0.2752293577981668
384,ALDH7A1,0.0,1.0
385,ALDH8A1,2.689655172413793,0.4765545361875627
386,ALDH9A1,0.0,1.0
387,ALDOB,0.0,1.0
388,ALG10,1.3275862068965518,1.0
389,ALG10B,0.8735632183908046,1.0
390,ALG12,0.0,1.0
391,ALG13,5.571428571428571,0.1830337153581604
392,ALG1L2,0.0,1.0
393,ALG2,0.0,1.0
394,ALG3,2.689655172413793,0.4765545361875627
395,ALG8,inf,0.2752293577981668
396,ALG9,0.0,1.0
397,ALK,1.3275862068965518,1.0
398,ALKBH4,0.0,1.0
399,ALKBH8,0.0,1.0
400,ALLC,0.0,1.0
401,ALMS1,1.3518518518518519,0.7042380485505636
402,ALOX12B,2.75,0.3034880144721127
403,ALOX15,0.0,1.0
404,ALOX5,1.3275862068965518,1.0
405,ALOXE3,inf,0.2752293577981668
406,ALPI,inf,0.2752293577981668
407,ALPK1,1.3275862068965518,1.0
408,ALPK2,0.41954022988505746,0.6709771478646152
409,ALPK3,0.0,1.0
410,ALPL,0.0,1.0
411,ALPP,2.689655172413793,0.4765545361875627
412,ALPPL2,0.8735632183908046,1.0
413,ALS2,0.0,1.0
414,ALS2CL,0.0,1.0
415,ALS2CR11,1.3275862068965518,1.0
416,ALX1,0.0,1.0
417,ALX4,0.0,1.0
418,AMBRA1,0.0,1.0
419,AMDHD1,0.0,1.0
420,AMDHD2,0.0,1.0
421,AMELX,0.0,1.0
422,AMER1,0.0,1.0
423,AMER2,2.689655172413793,0.4765545361875627
424,AMFR,2.689655172413793,0.4765545361875627
425,AMH,0.0,1.0
426,AMHR2,0.0,1.0
427,AMIGO2,2.689655172413793,0.4765545361875627
428,AMOT,0.0,1.0
429,AMOTL1,0.0,0.5597187687558982
430,AMPD2,inf,0.2752293577981668
431,AMPD3,2.689655172413793,0.4765545361875627
432,AMPH,0.0,0.5597187687558982
433,AMY1C,inf,0.2752293577981668
434,AMZ1,0.0,0.5597187687558982
435,AMZ2,inf,0.2752293577981668
436,ANAPC1,2.75,0.3034880144721127
437,ANAPC2,5.571428571428571,0.1830337153581604
438,ANAPC4,0.0,1.0
439,ANG,0.0,1.0
440,ANGEL1,0.0,1.0
441,ANGEL2,0.0,1.0
442,ANGPT1,0.0,0.3197331919771389
443,ANGPT2,0.0,1.0
444,ANGPT4,0.0,0.5597187687558982
445,ANGPTL2,inf,0.2752293577981668
446,ANGPTL3,0.0,1.0
447,ANGPTL6,inf,0.2752293577981668
448,ANHX,0.0,1.0
449,ANK1,1.1428571428571428,1.0
450,ANK2,1.8717948717948718,0.4577697556760367
451,ANK3,1.6444444444444444,0.6817295286533509
452,ANKAR,0.0,1.0
453,ANKDD1B,0.0,1.0
454,ANKEF1,0.0,1.0
455,ANKFN1,1.3275862068965518,1.0
456,ANKH,inf,0.2752293577981668
457,ANKHD1-EIF4EBP3,0.8735632183908046,1.0
458,ANKIB1,0.0,1.0
459,ANKK1,0.0,1.0
460,ANKLE2,0.0,1.0
461,ANKMY1,2.689655172413793,0.4765545361875627
462,ANKRD1,0.0,1.0
463,ANKRD11,0.8690476190476191,1.0
464,ANKRD12,2.689655172413793,0.4765545361875627
465,ANKRD13B,0.0,1.0
466,ANKRD13C,inf,0.2752293577981668
467,ANKRD17,0.41954022988505746,0.6709771478646152
468,ANKRD18A,0.0,0.5597187687558982
469,ANKRD2,inf,0.2752293577981668
470,ANKRD20A1,inf,0.004926076497357383
471,ANKRD20A4,0.0,1.0
472,ANKRD22,0.0,1.0
473,ANKRD24,0.0,1.0
474,ANKRD26,0.0,0.5597187687558982
475,ANKRD28,0.0,1.0
476,ANKRD30A,1.6444444444444444,0.6817295286533509
477,ANKRD30B,0.41954022988505746,0.6709771478646152
478,ANKRD31,1.3275862068965518,1.0
479,ANKRD33,0.0,1.0
