protein	Database_ID	adj_p	cancer_type	change	has_event_sample_size	not_has_event_sample_size
EXPH5	ENSP00000265843	0.9995909704385385	luad	0.00012966890585550117	31	70
GPSM3	ENSP00000364180	0.9995909704385385	luad	-0.0002862491502060305	31	70
COX6B1	ENSP00000376037	0.9995909704385385	luad	-0.00014947353437443078	31	70
CRACR2B	ENSP00000435299	0.9995909704385385	luad	-0.0001550316765554921	31	70
TAX1BP3	ENSP00000225525	0.9995909704385385	luad	6.60561327161524e-05	31	70
ZNF768	ENSP00000369777	0.9995909704385385	luad	-0.0004917819553360014	31	70
IST1	ENSP00000368076	0.9995909704385385	luad	-0.00020437727656583138	31	69
ZHX1	ENSP00000297857	0.9995909704385385	luad	9.447744949827447e-05	31	70
LFNG	ENSP00000222725	0.9995909704385385	luad	-0.00020310404503721263	31	70
ROBO2	ENSP00000327536	0.9995909704385385	luad	-0.00027259712643445955	27	58
BMPER	ENSP00000297161	0.9995909704385385	luad	0.00021010507206986606	31	70
APOBEC3F	ENSP00000309749	0.9995909704385385	luad	0.00011288696526698394	31	70
SH2B2	ENSP00000440273	0.9995909704385385	luad	0.00030293672098839763	28	61
PRPF18	ENSP00000367835	0.9995909704385385	luad	0.00015109672245812444	31	70
LRRC49	ENSP00000260382	0.9995909704385385	luad	0.0018416840631892695	8	25
N4BP2L2	ENSP00000267068	0.9995909704385385	luad	0.0002533101790402337	31	70
NSD1	ENSP00000343209	0.9995909704385385	luad	-0.0004415758595590451	30	59
ADGRF1	ENSP00000360299	0.9995909704385385	luad	0.0006026076258982549	29	60
KLK10	ENSP00000311746	0.9995909704385385	luad	-0.00025885191178361827	11	29
PAMR1	ENSP00000482899	0.9995909704385385	luad	-0.0004030103232051038	31	70
PRPF40B	ENSP00000261897	0.9996731322806703	luad	7.069260897422935e-05	31	70
POLK	ENSP00000241436	0.9996731322806703	luad	6.205944679370332e-05	31	70
HMCES	ENSP00000372955	0.9996731322806703	luad	-4.800712294786291e-05	31	70
KNL1	ENSP00000335463	0.9996731322806703	luad	-0.0003128920565821369	18	29
TXNDC16	ENSP00000281741	0.9996731322806703	luad	0.00013991501688988533	26	53
RNASE6	ENSP00000302046	0.9996731322806703	luad	0.00020308769092680645	31	70
CALU	ENSP00000249364	0.9996731322806703	luad	-5.339236648604917e-05	31	70
CALU	ENSP00000408838	0.9996731322806703	luad	7.042393403322578e-05	31	70
HADHA	ENSP00000370023	0.9996731322806703	luad	3.7822684731427664e-05	31	70
ACTR1B	ENSP00000289228	0.9996731322806703	luad	-2.904534288053484e-05	31	70
ATP6V1C2	ENSP00000272238	0.9996731322806703	luad	0.00018357467013224715	9	26
DIMT1	ENSP00000199320	0.9997766378635975	luad	-8.033415817986118e-06	31	70
