Name,amplifications,neutral,deletions,average
DTL,16.0,74.0,10.0,0.08815166871894568
DTNA,14.0,53.0,33.0,-0.019720000000000022
DTNB,20.0,69.0,11.0,0.10169269013798467
DTNBP1,28.0,57.0,15.0,0.15508811485197607
DTWD1,3.0,59.0,38.0,-0.11124052020523999
DTWD2,5.0,55.0,40.0,-0.13275323367339303
DTX1,7.0,72.0,21.0,-0.05006523126300797
DTX2,18.0,72.0,10.0,0.10458781848081608
DTX3,10.0,80.0,10.0,0.03301564049459005
DTX3L,30.0,61.0,9.0,0.19151999999999986
DTX4,6.0,85.0,9.0,0.05529742955994799
DTYMK,12.0,63.0,25.0,-0.008718000000000004
DUOX1,2.0,54.0,44.0,-0.18954319390702
DUOX2,2.0,54.0,44.0,-0.191002
DUOXA1,2.0,54.0,44.0,-0.191002
DUOXA2,2.0,54.0,44.0,-0.191002
DUPD1,16.0,71.0,13.0,0.05698594205977193
DUS1L,26.0,57.0,17.0,0.13148960128922002
DUS2L,1.0,36.0,63.0,-0.29392265618463903
DUS3L,2.0,38.0,60.0,-0.23793385890698
DUS4L,19.0,74.0,7.0,0.11831313747790995
DUSP1,8.0,67.0,25.0,-0.011216000000000097
DUSP10,22.0,73.0,5.0,0.17238099999999995
DUSP11,16.0,77.0,7.0,0.10959606178595999
DUSP12,32.0,66.0,2.0,0.2291639221298199
DUSP13,16.0,72.0,12.0,0.08889946432018402
DUSP14,3.0,28.0,69.0,-0.30759900000000007
DUSP15,30.0,68.0,2.0,0.23840490794429997
DUSP16,33.0,52.0,15.0,0.17195079788453005
DUSP18,5.0,41.0,54.0,-0.19557999999999998
DUSP19,22.0,73.0,5.0,0.18599720575695994
DUSP2,15.0,79.0,6.0,0.10472437529596801
DUSP22,29.0,57.0,14.0,0.10353010139034997
DUSP23,32.0,66.0,2.0,0.23211137922915
DUSP26,7.0,41.0,52.0,-0.20833927470885005
DUSP27,24.0,72.0,4.0,0.17986826369252001
DUSP28,13.0,63.0,24.0,-0.002378879994401006
DUSP3,1.0,43.0,56.0,-0.2332310000000001
DUSP4,4.0,38.0,58.0,-0.29844881637731996
DUSP5,6.0,70.0,24.0,-0.06463799999999997
DUSP6,9.0,70.0,21.0,-0.01229302784238
DUSP7,9.0,71.0,20.0,0.0010366651449808966
DUSP8,3.0,50.0,47.0,-0.19112771058688
DUT,4.0,59.0,37.0,-0.12153833156977997
DUXA,7.0,55.0,38.0,-0.133474725511089
DVL1,16.0,60.0,24.0,0.0420871795565
DVL2,7.0,46.0,47.0,-0.15571312449786295
DVL3,58.0,37.0,5.0,0.36151000337104
DYDC1,14.0,71.0,15.0,0.03832135332381002
DYDC2,14.0,71.0,15.0,0.04084798888160002
DYM,7.0,44.0,49.0,-0.14887907119848398
DYNAP,8.0,41.0,51.0,-0.16010499999999997
DYNC1H1,11.0,64.0,25.0,-0.018242445666559994
DYNC1I1,22.0,66.0,12.0,0.1308833388860401
DYNC1I2,16.0,78.0,6.0,0.11152032915516985
DYNC1LI1,8.0,71.0,21.0,-0.036126714420585994
DYNC1LI2,2.0,36.0,62.0,-0.298174590109544
DYNC2H1,16.0,68.0,16.0,0.07666260309276657
DYNC2LI1,18.0,70.0,12.0,0.07817682403167792
DYNLL1,7.0,75.0,18.0,-0.03226100000000009
DYNLL2,9.0,58.0,33.0,-0.06048097214032001
DYNLRB1,32.0,65.0,3.0,0.22894648172406
DYNLRB2,2.0,31.0,67.0,-0.32730381817442805
DYNLT1,6.0,44.0,50.0,-0.18172299999999997
DYRK1A,8.0,58.0,34.0,-0.0905613251436061
DYRK1B,20.0,60.0,20.0,0.13908575274355
DYRK2,16.0,74.0,10.0,0.10936300000000004
DYRK3,24.0,69.0,7.0,0.16627569179319482
DYRK4,36.0,52.0,12.0,0.21829453876547
DYSF,19.0,73.0,8.0,0.11852577147108002
DYTN,14.0,79.0,7.0,0.10182931278810999
DYX1C1,4.0,51.0,45.0,-0.17332076532117952
DZANK1,23.0,65.0,12.0,0.12281520050158398
DZIP1,8.0,52.0,40.0,-0.11314079300405
DZIP1L,39.0,53.0,8.0,0.23634971454996997
DZIP3,22.0,69.0,9.0,0.14828622741668693
E2F1,38.0,59.0,3.0,0.26192130801254004
E2F2,4.0,66.0,30.0,-0.07807900000000001
E2F3,29.0,59.0,12.0,0.18067802561277993
E2F4,1.0,39.0,60.0,-0.28323807949002494
E2F5,33.0,51.0,16.0,0.16983000000000006
E2F6,19.0,67.0,14.0,0.09186782147962509
E2F7,7.0,74.0,19.0,-0.0017494035469300057
E2F8,4.0,65.0,31.0,-0.09959499999999999
E4F1,11.0,60.0,29.0,-0.016460883230070018
EAF1,9.0,71.0,20.0,-0.028585999999999907
EAF2,29.0,62.0,9.0,0.18175926955642396
EAPP,11.0,60.0,29.0,-0.03317499891385
EARS2,7.0,65.0,28.0,-0.06230659026791998
EBF1,11.0,65.0,24.0,-0.022763896793013102
EBF2,4.0,33.0,63.0,-0.34303199999999995
EBF3,13.0,71.0,16.0,0.008675736536923002
EBF4,25.0,60.0,15.0,0.14450481748154
EBI3,2.0,23.0,75.0,-0.3611445565695098
EBLN1,18.0,76.0,6.0,0.10972100000000004
EBLN2,12.0,72.0,16.0,0.031319999999999994
EBNA1BP2,15.0,76.0,9.0,0.11950799782631999
EBPL,5.0,42.0,53.0,-0.19680230911891985
ECD,9.0,75.0,16.0,-0.005932517016910095
ECE1,4.0,66.0,30.0,-0.06629029807033805
ECE2,60.0,35.0,5.0,0.35253356594192986
ECEL1,11.0,68.0,21.0,-0.004508093166290001
ECH1,22.0,58.0,20.0,0.11910474122328102
ECHDC1,10.0,54.0,36.0,-0.066316
ECHDC2,11.0,78.0,11.0,0.052315999999999974
ECHS1,13.0,67.0,20.0,0.00369673396210999
ECI1,11.0,59.0,30.0,-0.02520314553609001
ECI2,32.0,51.0,17.0,0.16718152842735
ECM1,34.0,65.0,1.0,0.2584418474551001
ECM2,1.0,62.0,37.0,-0.1520855214905
